Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
314,18840.56,410.9297,25,1,450.0047,0.4984454,0.7009173
315,18900.56,411.0154,25,1,450.0047,0.4303659,0.8475789
316,18960.56,411.1012,25,1,450.0047,0.4759985,0.9013498
317,19020.56,411.187,25,1,450.0047,0.47447,0.7214577
318,19080.56,411.2727,25,1,450.0047,0.484201,0.4614884
319,19140.56,411.3585,25,1,450.0047,0.4781488,0.4795629
320,19200.56,411.4442,25,1,450.0047,0.4713449,0.4664274
321,19260.56,411.53,25,1,450.0047,0.4682301,0.6546982
322,19320.56,411.6158,25,1,450.0047,0.4824146,0.590383
323,19380.56,411.7015,25,1,450.0047,0.48687,0.6299701
324,19440.56,411.7873,25,1,450.0047,0.4834203,0.4783779
325,19500.56,411.8731,25,1,450.0047,0.4896577,0.875355
326,19560.56,411.9588,25,1,450.0047,0.4638107,1.191161
327,19620.56,412.0446,25,1,450.0047,0.4679784,0.929107
328,19680.56,412.1304,25,1,450.0047,0.4858146,1.072197
329,19740.56,412.2161,25,1,450.0047,0.411483,0.5564411
330,19800.56,412.3019,25,1,450.0047,0.4670379,0.9015486
331,19860.56,412.3877,25,1,450.0047,0.4908079,0.9303422
332,19920.56,412.4734,25,1,450.0047,0.4895942,0.7606492
333,19980.56,412.5592,25,1,450.0047,0.4658913,0.9472668
334,20040.56,412.645,25,1,450.0047,0.4403449,0.6162958
335,20100.56,412.7307,25,1,450.0047,0.4599245,0.6951466
336,20160.56,412.8165,25,1,450.0047,0.3853988,0.8570196
337,20220.56,412.9023,25,1,450.0047,0.432845,0.7841204
338,20280.56,412.988,25,1,450.0047,0.4948038,0.5159078
339,20340.56,413.0738,25,1,450.0047,0.4432714,0.7440518
340,20400.56,413.1595,25,1,450.0047,0.4852792,0.8837245
341,20460.56,413.2453,25,1,450.0047,0.4444172,0.729597
342,20520.56,413.3311,25,1,450.0047,0.4464418,0.5278327
